"分類: NDC","棚番号-段","タイトル","編著者","発行者","発行年","言語","注記：原著名／仮訳、ISBN等","貴重書","タグ"
"","","","","","","","","",""
"523.35","24-6
","ヴェルサイユ : 宮殿と庭園,トリアノンの見学ガイド","ダニエル・メイエール(Meyer, Daniel) [著], 野崎 三郎・真理子 共訳","Editions d’Art Lys [Versailles]","1994.1","","","",""
"523.35","24-6
","ヴェルサイユ宮殿の歴史      (「知の再発見」双書  116)","クレール・コンスタン(Constans, Claire) 著,  伊藤 俊治 監修,  遠藤 ゆかり 訳","創元社(大阪)","2004.7","","原タイトル: Versailles,Chateau de la France et orgueil des rois ","",""
"523.35","24-6
","フランス造園の近代化      (「信州大学農学部演習林報告」第30号別刷）","佐々木 邦博 [著]（信州大学農学部造園学研究室）","信州大学農学部","1995.12","","博士論文(京都大学)","",""
"523.35","24-6
","第二帝政期のパリ市改造事業 オースマンの栄光と孤独 (土木技術者の海外案内-3-) ","中村 良夫 著","土木学会","1973.3","","土木学会誌, 58(3), 1973.3","",""
"290.9","24-6
","城郭都市 : 城門からの散策      (週刊朝日百科「世界の歴史」別冊　旅の世界史 6)","樺山 紘一 責任編集","朝日新聞社","1992.1","","造園ーフランス","",""
"",""," ","","","","","","",""
"","","","","","","","","",""
"523.35","24-6
","フォンテーヌブロー : 見学の手引き","ジャン・ピエール・サモワイヨー 美術館局総監 (フォンテーヌブロー宮殿国立美術館主席保存官)","Les Editions d'Art","1991","","","",""
"","","","","","","","","",""
"953.7","24-6
","ヴェルサイユの密謀 上・下巻     (新潮文庫  ケ-16-1)","クリスティーヌ・ケルデラン(Kerdellant, Christine), エリック・メイエール(Meyer, Éric) [著],  平岡 敦 訳","新潮社","2010.8","","原タイトル: La porte derobee","",""
"726.1","24-6
","ベルサイユのばら  1,2,3,4,5 　(集英社文庫)","池田 理代子 著","集英社","1994.12","","","",""
"952 ","24-6
","シラノ・ド・ベルジュラック　岩波文庫","エドモン・ロ(Rostand, Edmond)スタン 著,  辰野 隆,  鈴木 信太郎 共訳","岩波書店","1951","","Rostand, Edmond, 1868-1918","",""
"913.6","24-6
","カスティリオーネの庭","中野 美代子 著","文藝春秋","1997.9","","円明園が舞台, 造園ーフランス","",""
"","","","","","","","","",""
"629.21","24-6
","戸定邸と千葉大学松戸キャンパスの庭園","斎藤 洋一 (松戸市戸定歴史観), 藤井 英二郎 (千葉大学大学院園芸学研究科) 著","日本庭園学会","2009.6.20","","日本庭園学会 平成21年度大会公開研究= [日本庭園学会誌] (23) 2010.10, 29～56,図巻頭1p","",""
"629.237","24-6
","イタリアにおける歴史的庭園の保全","鹿野 陽子 著","東京農業大学農学部造園学科","2001.5","","別刷 (造園学論集 別冊 No.7)","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"590.73","25-1","Zoo : a history of zoological gardens in the West","Eric Baratay and Elisabeth Hardouin-Fugier ; [translated by Oliver Welsh]","Reaktion Books","2002","英語","別タイトル: Zoos : histoire des jardins zoologiques en Occident (XVIe-XXe siècle) ","",""
"629.2346","25-1","The garten Schonbrunn","","","","","""シェーンブルン宮と庭園ガイド（オーストリア）, 造園－中欧","",""
"","","","","","","","","",""
"480.76","25-1","京都市動物園100年のあゆみ     (京都市動物園100周年記念誌)","京都市動物園 編","京都市動物園","2003.9","","2冊箱入り,  付録: 京都市動物園 オフィシャルガイドブック ","",""
"480.76","25-1","多摩動物公園50年史   (本編+資料編）","東京都, 東京動物園協会 編","東京都","2008.5","","共同刊行: 東京動物園協会 ,（2冊箱入り）","",""
"480.76","25-1","動物園のつくり方 : 入門動物園学","Paul A. Rees (Rees, Paul A) [著],  武田 庄平, 鈴木 馨, 上野 吉一, 竹村勇司 訳","農林統計出版","2016.8","","原タイトル: An Introduction to Zoo Biology and Management ","",""
"480.76","25-1","動物園学","Geoff Hosey, Vicky Melfi, Sheila Pankhurst [著],  村田 浩一, 楠田 哲士 監訳","文永堂出版","2011.8","","原タイトル: Zoo animals ","",""
"","","","","","","","","",""
"369","25-1","人間学的福祉論 : 木の生き方に学ぶ","島崎 義孝 著","批評社","2014.5","","","",""
"480.76","25-1","動物園を考える : 日本と世界の違いを超えて","佐渡友 陽一 著","東京大学出版会","2022.3","","表紙のタイトル: Thinking about Zoos ","",""
"210.1","25-1","日本人と動物の歴史 : 日本人にとって動物とは何か","實吉 達郎 著","カンゼン","2020.7","","","",""
"480.76","25-1","動物園の歴史 : 日本における動物園の成立","佐々木 時雄 著","西田書店","1975","","","",""
"480.76","25-1","続 動物園の歴史　世界編　","佐々木 時雄 著, 佐々木 拓二 編","西田書店","1977.10","","","",""
"480.76","25-1","日本の動物園      (Natural history)","石田  戢[オサム]  著","東京大学出版会","2010.7","","","",""
"480.76","25-1","動物園から未来を変える : ニューヨーク・ブロンクス動物園の展示デザイン","川端 裕人, 本田 公夫 著","亜紀書房","2019.3","","","",""
"480.76","25-1","動物園巡礼","木下 直之 著","東京大学出版会","2018.11","","","",""
"480.76","25-1","動物園革命","若生 謙二 著","岩波書店","2010.12","","","",""
"480.76","25-1","動物園の文化史 : ひとと動物の5000年","溝井 裕一 著","勉誠出版","2014.4","","","",""
"480.76","25-1","生まれ変わる動物園 : その新しい役割と楽しみ方","田中 正之 著","化学同人(京都)","2013.4","","","",""
"480.76","25-1","実録 上野動物園","福田 三郎 著","毎日新聞社","1968","","","",""
"480.76","25-1","戦う動物園 : 旭山動物園と到津の森公園の物語      (中公新書)","小菅 正夫, 岩野 俊郎 著, 島 泰三 編","中央公論新社","2006.7","","","",""
"480.76","25-1","動物園・その歴史と冒険　   (中公新書ラクレ 713)","溝井 裕一 著","中央公論新社","2021.1","","","",""
"480.76","25-1","物語 上野動物園の歴史 : 園長が語る動物たちの140年","小宮 輝之 著","中央公論新社","2010.6","","","",""
"480.4","25-1","動物園まんだら　","中川 哲男 著","東方出版(大阪)","2006.10","","","",""
"","","","","","","","","",""
"480.76","25-1","動物公園年報　昭和61年度","平川動物公園 (鹿児島市)","鹿児島市平川動物公園","1987","","","",""
"480.76","25-1","「どうぶつと動物園」2008年春号　特集・多摩動物公園開園50周年","**","東京動物園協会","2008.4","","Vol.60(2), 通巻670号","",""
"480.76","25-1","ZSL London Zoo　The Insider’sGuide 2018/19","Zoological Society of London (ZSL)","London Zoo","2018?","英語","パンフレット","",""
"480.76","25-1","La ménagerie du Jardin des plantes  No.9","Teste: Marie-Claude BOMSEL-DEMONTOY","Muséum National d'Histoire Naturelle","1994","英語","パンフレット,  タイトル：植物園の動物園","",""
"480.76","25-1","Process architecture(プロセスアーキテクチュア)　126  ジョーンズ＆ジョーンズ作品集 ; 景観・地形・生物からのランドスケープデザイン","**","プロセスアーキテクチュア","1995.5","","","",""
"","","","","","","","","",""
"779.5","25-1","サーカスの歴史 : 見世物小屋から近代サーカスヘ","阿久根 巌 著","西田書店","1977.2","","","",""
"779.5","25-1","サーカス研究      (Encyclopedia Ashihara  vol.2)","蘆原 英了 著","新宿書房","1984.3","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"480.76","25-2","オーストラリアの動物園（パンフレット等）","","","","","","",""
"480.76","25-2","『図書』 No.726","**（木下直之 一部執筆)","岩波書店","2009.8","","逆立ちするゾウ：動物園と日本人の物語をつむぐ１","",""
"480.76","25-2","『図書』 No.727","**（木下直之 一部執筆)","岩波書店","2009.9","","動物たちのホームドラマ：動物園と日本人の物語をつむぐ２","",""
"480.76","25-2","『図書』 No.728","**（木下直之 一部執筆)","岩波書店","2009.10","","お猿電車はゆくよ：動物園と日本人の物語をつむぐ３","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"689.04","25-3","ユートピア産業","中村 かつろう 著","勁草書房","1992.1","","","",""
"365.7","25-3","レジャーの社会学","岡田 至雄 著","世界思想社","1982.5","","","",""
"689.21","25-3","観光・旅の文化","北川 宗忠 著","ミネルヴァ書房","2002.4","","","",""
"786.3","25-3","キャンプ場の施設","出口 一重 編集兼発行人","(社)全日本観光連盟","1953.7","","","",""
"688","25-3","自動車旅行の休泊施設","鈴木 忠義 著, (財)国際観光協会 監修","理工図書","1957.9","","","",""
"365.7","25-3","レジャーの科学","堤 清二 編","実業之日本社","1962","","","",""
"514.7","25-3","観光道路","加藤 誠平, 鈴木 忠義","土木雑誌社","1955","","","",""
"688","25-3","観光経済学","塩田 正志 著","アサヒ社","1962.5","","","",""
"688","25-3","観光教室","井上 万寿蔵 著
井上 萬壽蔵 著","朝日新聞社","1957","","","",""
"290.9","25-3","世界の観光","川本 直水 著","創元社","1959","","","",""
"689.1","25-3","望ましい国内観光の実現のために : 観光政策審議会意見具申(昭和57年3月10日)","内閣総理大臣官房審議室 編 	","大蔵省印刷局","1982.8","","","",""
"689.4","25-3","観光地の緑化　","**","(社) 全日本観光連盟","1952.3","","","",""
"689.4","25-3","観光開発をどう考えるか","鈴木 忠義 著","日本観光協会","1961.3","","","",""
"","","","","","","","","",""
"689","25-3","ディズニーランドの経済学","粟田 房穂, 高成田 亨","朝日新聞社","1984.8","","","",""
"689.21","25-3","これは、温泉ではない　（光文社新書  温泉教授の温泉ゼミナール 2）","松田 忠徳 著","光文社","2004.1","","","",""
"689.2194 ","25-3","黒川温泉　観光経営講座　（光文社新書）","後藤 哲也, 松田 忠徳","光文社叢書","2005.2","","","",""
"689.2195","25-3","由布院の小さな奇跡　（新潮新書）","木谷 文弘 著　","新潮社","2004.11","","","",""
"689.5 ","25-3","ディズニー7つの法則 : 奇跡の成功を生み出した「感動」の企業理念","トム・コネラン (Connellan, Thomas K, 1942-) 著, 仁平 和夫 訳","日経BP社","1997.11","","原タイトル: Inside the magic kingdom","",""
"689.81 ","25-3","星野リゾートの教科書 : サービスと利益両立の法則","中沢 康彦 著, 日経トップリーダー 編","日経BP社","2010.4","","","",""
"342.1","25-3","日本がだめならニュージーランドがあるさ！　(2003年、日本国破産 ; 海外編)","浅井 隆, キーウィ・サポート 著","第二海援隊","2002.12","","","",""
"209","25-3","観光の文化史","中川 浩一","筑摩書房","1985.7","","","",""
"290.9","25-3","旅行の進化論       (青弓社ライブラリー  2)","ヴィンフリート・レシュブルク(Löschburg, Winfried) 著,  林 龍代, 林 健生 訳","青弓社","1999.7","","","",""
"","","","","","","","","",""
"297.2","25-3","Mobil New Zealand travel guide : South Island and Stewart Island","by Diana and Jeremy Pope","Wellington : A. H. & A. W. Reed","1974","","","",""
"","","","","","","","","",""
"293.7093","25-3","イタリア五都市 : ローマ・ミラノ・ナポリ・フィレンツェ・ヴェネツィア        (ブルーガイドわがまま歩き 29)","**","実業之日本社","2018.7","","","",""
"629.23","25-3","イタリア庭園の旅 : 100の悦楽と不思議      (コロナ・ブックス  78)","巖谷 國士 文・写真","平凡社","2000.3","","","",""
"293.7093","25-3","(ブルーガイドわがまま歩き  29 )　イタリア五都市 : ローマ・ミラノ・ナポリ・フィレンツェ・ヴェネツィア","ブルーガイド編集部","実業之日本社","2018.7","","第７版","",""
"","","","","","","","","",""
"293.7","25-3","(イタリア旅行協会公式ガイド  1 )   ミラノ／イタリア北西部","**","NTT出版株式会社","1995.10","","ミラノ/イタリア北西部 : ジェノヴァ,トリノ,ベルガモ,マントヴァ,アオスタ","",""
"293.7","25-3","(イタリア旅行協会公式ガイド  2 )   ヴェネツィア/イタリア北東部","**","NTT出版株式会社","1995.10","","ヴェネツィア/イタリア北東部 : ボローニャ,ヴェローナ,ラヴェンナ,トレント,トリエステ","",""
"293.7","25-3","(イタリア旅行協会公式ガイド  3 )   フィレンツェ/イタリア中部","**","NTT出版株式会社","1995.10","","フィレンツェ/イタリア中部 : ピサ,シエナ,ペルージア,アッシジ,ウルビーノ","",""
"293.7","25-3","(イタリア旅行協会公式ガイド  4 )   ローマ/サルデーニャ","**","NTT出版株式会社","1996.3","","ローマ/サルデーニャ : ヴィテルボ,ティヴォリ,ラクィラ,カリアリ","",""
"293.7","25-3","(イタリア旅行協会公式ガイド  5 )   ナポリ/シチリア","**","NTT出版株式会社","1997.5","","ナポリ/シチリア : ソッレント,バーリ,レッチェ,パレルモ,シラクーザ","",""
"","","","","","","","","",""
"293.7","25-3","(ミシュラン・グリーンガイド)　イタリア","ミシュランタイヤ社 著作,  実業之日本社 日本語版編集","実業之日本社","1991.6","","","",""
"293.5","25-3","(ミシュラン・グリーンガイド)　ロワールの城","ミシュランタイヤ社 著作,  実業之日本社 日本語版編集","実業之日本社","1995.5","","第２版","",""
"293.5","25-3","(ミシュラン・グリーンガイド)　パリ","ミシュランタイヤ社 著作,  実業之日本社 日本語版編集","実業之日本社","1991.6","","","",""
"293.5","25-3","(ミシュラン・グリーンガイド)　パリ周辺","ミシュランタイヤ社 著作,  実業之日本社 日本語版編集","実業之日本社","1995.6","","第２版","",""
"293.609","25-3","(ミシュラン・グリーンガイド)　スペイン","ミシュランタイヤ社 著作,  実業之日本社 日本語版編集","実業之日本社","1998.6","","第２版","",""
"293.33","25-3","Baedeker’s  Great Britain","Baedekers Autoführer-Verlag","Prentice Hall Press","1986?","","ISBN: 0130558559(pbk)","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"520","25-4","アクアテクチュア : 建築と水","アンソニー･ウィルソン (Wylson, Anthony) 著, 黒田 秀彦, 井上 聰史, 落合 太郎 訳","鹿島出版会","1990.4","","原タイトル: Aquatecture","",""
"519.8","25-4","都市の生態と計画　　 (技報堂全書)","伊藤 通畦 著","技報堂","1961","","","",""
"518.85 ","25-4","都市の緑化戦略 : 街づくりにおける緑の継承と展望","日本造園修景協会編集委員会 編","ぎょうせい","2005.4","","","",""
"519.8","25-4","都市のイメージ","ケヴィン・リンチ (Lynch, Kevin, 1918-1984)　著, 丹下 健三, 冨田 玲子 訳","岩波書店","1968","","原タイトル: The image of the city","",""
"518.8 ","25-4","敷地計画の技法","ケヴィン・リン  (Lynch, Kevin, 1918-1984)　著, 前野 淳一郎, 佐々木 宏 共訳","鹿島出版会","1987.11","","原タイトル: Site Planning","",""
"519.85","25-4","環境修景論 : 緑化理論から計画まで","近藤 公夫 著","地球社","1973","","","",""
"519.19","25-4","環境システムの計画 : 接点空間 (インターフェイス) をさぐる","斎藤 一雄 著","斉藤一雄先生退官記念事業会","1985.2","","並列タイトル: Planning of environmental system : interface of land and water","",""
"414.2","25-4","配置の問題 : 平面・球面・空間における","フェイェシュ･トート (Fejes Tóth, L ) 著, 樋口 伊佐夫, 種村 正美 訳","みすず書房","1993.12","","原タイトル: Lagerungen in der Ebene auf der Kugel und im Raum. 2.Aufl","",""
"519.9","25-4","ジオテクニクス : 地域計画の哲学","ベントン･マッケイ (Mackaye, Benton, 1879-1975) 著, ルイス･マンフォード (Lewis Munford) 序文,  波多江 建郎 訳","彰国社","1971","","原タイトル: The New Exploration : a new philosophy of regional planning","",""
"518.8 ","25-4","エコハビタ : 環境創造の都市","吉村 元男 著","学芸出版社","1993.2","","","",""
"518.85","25-4","緑のまちづくり学","進士 五十八 著","学芸出版社","1987.4","","","",""
"518.8","25-4","ウォーターフロントの時代","川端 直志 著","都市文化社","1985.1","","","",""
"290.17","25-4","都市の思想 : 保存修景への指標　（NHKブックス）","西川 幸治 著","日本放送出版協会","1973","","","",""
"518.8","25-4","都市美を求めて : 27都市の個性","橋岡 武 著","鹿島出版会","1982.12","","","",""
"519.8","25-4","都市に生きる方途 : 応用生態学の構想　（NHKブックス）","吉村 元男 著　","日本放送出版協会","1977.7","","","",""
"304","25-4","人間・都市・未来を考える","伊藤 滋ほか, 大都市生活構造研究会「朝市ふぉーらむ」編","PHP研究所","1997.1","","","",""
"","","","","","","","","",""
"612.1","25-4","都市と農村の間 : 都市近郊農業史論","渡辺 善次郎 著","論創社","1983.6","","","",""
"601.1","25-4","国土学事始め","大石 久和 著","毎日新聞社","2006.3","","","",""
"601.1","25-4","国土科学　（NHKブックス　206）","島津 康男 著","日本放送出版協会","1974","","","",""
"757","25-4","モダニズム以降のデザイン : ものの実体を超えて","ジョン・サッカラ (Thackara, John) 編,  奥出 直人・藤原 えりみ・枡山 寛 訳","鹿島出版会","1991.12","","原タイトル: Design after modernism","",""
"520","25-4","建築美を科学する","小林 盛太 著","彰国社","1991.6","","","",""
"518.8","25-4","屋外空間の生活とデザイン　（SDライブラリー 2）","J.ゲール (Gehl, Jan, 1936-)著, 北原 理雄 訳","鹿島出版会","1990.3","","原タイトル: Life between buildings","",""
"331.81","25-4","京様式経営 : モジュール化戦略 : 「ネットワーク外部性」活用の革新モデル","末松 千尋 著","日本経済新聞社","2002.8","","","",""
"","","","","","","","","",""
"519.8","25-4","知覚環境の計画","ケヴィン･リンチ (Lynch, Kevin, 1918-1984)著, 北原 理雄 訳","鹿島出版会","1979.8","","原タイトル: Managing the sense of a region","",""
"518.8","25-4","逆都市化時代 : 人口減少期のまちづくり","大西 隆 著","学芸出版社","2004.6","","","",""
"361.78","25-4","青少年のための都市環境","ケヴィン･リンチ (Lynch, Kevin, 1918-1984 )、北原 理雄 訳","鹿島出版会","1980.7","","原タイトル: Growing up in cities","",""
"290.12","25-4","田中啓爾と日本近代地誌学","田村 百代 著","古今書院","1984.11","","","",""
"290.173","25-4","大都市圏研究 : 多様なアプローチ　上","成田 孝三 編","大明堂","1999.3","","","",""
"290.173","25-4","大都市圏研究 : 多様なアプローチ　下","成田 孝三 編","大明堂","1999.3","","","",""
"450.7","25-4","地域と自然　","千葉 徳爾 著","大明堂","1966","","","",""
"334.6","25-4","自然立地的土地利用計画　","井手 久登・武内 和彦 著","東京大学出版会","1985.4","","","",""
"910.26","25-4","日本自然主義再考　　(近代文学研究双書)","相馬 庸郎 著","八木書店","1981.12","","","",""
"448.9","25-4","地図からの発想","中村 和郎 編","古今書院","2005.9","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"523","25-5","図説・都市の世界史  3  近世","レオナルド・ベネーヴォロ(Benevolo, Leonardo) 著, 佐野 敬彦, 林 寛治 訳","相模書房","1983.7","","原著: Storia della città. 2.ed","",""
"523","25-5","図説・都市の世界史  4  近代","レオナルド・ベネーヴォロ(Benevolo, Leonardo) 著, 佐野 敬彦, 林 寛治 訳","相模書房","1983.8","","原著: Storia della città. 2.ed","",""
"518.8","25-5","都市はどのようにつくられてきたか : 発生から見た都市のタイポロジー      (The cities=new illustrated series)","アーヴィン・Y.ガランタイ(Galantay, Ervin Y) 著,  堀池 秀人 訳","井上書院","1984.11","","原タイトル: New towns:antiquity to the presen","",""
"519.8","25-5","都市の景観      (SD選書)","G.カレン(Cullen, Gordon) 著,  北原 理雄 訳","鹿島出版会","1975","","Cullen, Gordon, 1914-1994","",""
"518.8","25-5","サステイナブル・コミュニティ : 持続可能な都市のあり方を求めて","川村 健一, 小門 裕幸 著","学芸出版社(京都)
","1995.11","","","",""
"518.8","25-5","進化する都市","パトリック・ゲデス (Geddes, Patrick, 1854-1932) 著, 西村 一朗 他訳","鹿島出版会","1982.10","","原タイトル: Cities in evolution","",""
"930.2","25-5","田舎と都会　","レイモンド・ウィリアムズ(Williams, Raymond) 著,  山本 和平 [ほか] 訳
","晶文社","1985.10","","Williams, Raymond, 1921-1988
原タイトル: The country and the city ","",""
"611.15","25-5","田園アメニティ論","武内　和彦 ほか著","養賢堂","1990.6","","","",""
"361","25-5","ポストモダンと地方主義","フィリップ・クック(Cooke, Philip N) 著,  坂井 達朗 訳","日本経済評論社","1995.12","","原タイトル: Back to the future ","",""
"361.48","25-5","現代の都市　","S.リーマー(Riemer, Svend) 著,  磯村 英一, 奥田 道大 共訳","誠信書房","1959","","","",""
"290.17","25-5","都市プランの研究 : 変容系列と空間構成 ","矢守 一彦 著","大明堂","1970","","","",""
"521.86","25-5","流民の都市とすまい ","上田 篤 著","駸々堂出版","1985.3","","","",""
"518.8","25-5","西洋の都市 : その歴史と類型","ヴォルフガング・ブラウンフェルス(Braunfels, Wolfgang) 著, 日高 健一郎 訳","丸善","1986.7","","Braunfels, Wolfgang, 1911-1987
原タイトル: Abendländische Stadtbaukunst:Herrschaftsform und Baugestalt ","",""
"518.8","25-5","まちづくりと創造性      (有斐閣ビジネス  36)","山崎 幸男 著","有斐閣","1986.5	","","","",""
"","","","","","","","","",""
"334.31","25-5","子供が消えゆく国      (日経プレミアシリーズ  423)","藤波 匠 著","日経BP日本経済新聞出版本部","2020.4","","","",""
"","","","","","","","","",""
"332.9","25-5","地域の科学      (紀伊国屋新書)","笹田 友三郎 著","紀伊国屋書店","1964","","付: 「リージョナル・サイエンス」に関する文献171-186p ","",""
"518.8","25-5","都市開発を考える : アメリカと日本      (岩波新書)","大野 輝之, レイコ・ハベ・エバンス(Evans, Reiko Habe) 著","岩波書店","1992.2","","","",""
"361.48","25-5","都市の自然史 : 人間と自然のかかわり合い      (中公新書)","品田 穣 著","中央公論社","1974","","","",""
"361.78","25-5","都市と日本人 : 「カミサマ」を旅する      (岩波新書)","上田 篤 著","岩波書店","2003.9","","","",""
"","","","","","","","","",""
"601.1","25-5","国土計画の思想 : 全国総合開発計画の30年     (都市叢書)","本間 義人 著","日本経済評論社","1992.7","","","",""
"332.98","25-5","新国土計画論 : 土地利用計画の提唱","宮沢 弘 著","有斐閣","1968","","","",""
"361.48","25-5","都市の科学","サイエンティフィック･アメリカン　編,  中江 利忠 訳","紀伊國屋書店","1966","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"629.21361","25-6","東京の寺社と大名庭園  天保14(1843)年「御江戸大繪圖」で歩く      (めぐりシリーズ  5)","**","人文社","2003.6","","「御江戸大繪圖」天保14年 (1843) の複製 
分図: 現代鉄道路線図 ","","#江戸べらぼう"
"291.36","25-6","地図東京今昔 :  東京商工会議所110周年記念","内務省地理局","東京商工会議所","1988.7","","明治11年東京古地図: 實測東京全圖の複製,  東京都23区全図, 東京都多摩全図","",""
"689.8","25-5","日本のホテル小史      (中公新書)","村岡 実 著
","中央公論社","1981.6","","","",""
"291.6","25-6"," 図説京阪神の地理 : 地図から学ぶ ","山口 覚, 水田 憲志, 金子 直樹, 吉田 雄介, 中窪 啓介, 矢嶋 巌 著","ミネルヴァ書房(京都)","2019.6","","","",""
"213.6106","25-6","近代東京の地政学 : 青山・渋谷・表参道の開発と軍用地 ","武田 尚子 著","吉川弘文館","2019.2","","","",""
"518.8","25-6","明治の東京計画      (岩波現代文庫 : 学術)","藤森 照信 著","岩波書店","2004.11","","","",""
"518.8","25-6","東京都市計画物語      (都市叢書)","越沢 明 著","日本経済評論社","1991.11","","","",""
"518.8","25-6","東京都市計画物語      (ちくま学芸文庫)","越澤 明 著","筑摩書房","2001.3","","","",""
"518.8","25-6","東京の都市計画      (岩波新書)","越沢 明 著","岩波書店","1991.12","","","",""
"313.61","25-6","皇居前広場      (光文社新書)","原 武史 著","光文社","2003.4","","","",""
"629.21","25-6","緑の東京史　","東京都造園建設業協同組合 編集","思考社","1979.2","","","",""
"","","","","","","","","",""
"518.8","25-6","多摩田園都市 : 良好な街づくりをめざして","東京急行電鉄田園都市事業部 編集","東京急行電鉄","1988.11","","昭和62年度日本建築学会賞","",""
"518.88","25-6","多摩田園都市 : ランドスケープ・ミュージアム","東京急行電鉄株式会社, 編集・製作: 工文社","東京急行電鉄","1990.3","","","",""
"518.83","25-6","近代日本の郊外住宅地","片木 篤, 藤谷 陽悦, 角野 幸博 編","鹿島出版会","2000.3","","","",""
"365.3 ","25-6","郊外の20世紀 : テーマを追い求めた住宅地","角野 幸博 著","学芸出版社(京都)","2000.3","","","",""
"290.38","25-6","「月刊　地図中心」  通巻462   特集  東急沿線ふたつの田園都市を訪ねる","**","日本地図センター","2011.3","","","",""
"","","","","","","","","",""
"210.17","25-6","天災と復興の日本史","外川 淳 著","東洋経済新報社","2011.7","","","",""
"369.31","25-6","大地からの警告 : 大震災は何を語りかけたのか","貝原 俊民 著","ぎょうせい	","2005.1 ","","","",""
"453.3","25-6","歴史地震 : 古記録は語る       (イルカぶっくす  8)","宇佐美 竜夫 著
宇佐美 龍夫　","海洋出版","1976","","","",""
"049.1","25-6","ここにいてはいけない","内藤 誼人 著","角川書店","2002.2 ","","","",""
"453","25-6","地震 : 理科年表読本","安藤 雅孝, 吉井 敏尅 編","丸善","1993.3","","","",""
"","","","","","","","","",""
"518.8","25-6","地下都市は可能か","平井尭 編著
平井 堯","鹿島出版会","1991.6","","","",""
"686.2","25-6","世界地下鉄物語　","ベンソン・ボブリック(Bobrick, Benson) 著,  日高 敏, 田村 咲智 訳","晶文社","1994.6","","","",""
"517.72","25-6","地下ダムと島の環境経済学 = Underground Dam and Environmental Economics of Islands","黒沼 善博 著","古今書院","2021.3","","","",""
"365.3","25-6","空き家問題 : １０００万戸の衝撃      (祥伝社新書   371)","牧野 知弘 著","祥伝社","2014.7","","","",""
"","","","","","","","","",""
"915.6","25-6","甲州街道、長州路ほか　　(朝日文庫  街道をゆく 1)","司馬 遼太郎 著","朝日新聞社","1999.7","","記述は第30刷による ","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"709 ","25-7","世界遺産 : 歴史と大自然へのタイムトラベル 第7巻  日本・オセアニア       (講談社+α文庫)","講談社 編, PPS通信社 写真, 水村 光男 監修","講談社","2002.12",""," : オールカラー完全版","",""
"709 ","25-7","世界遺産 : 歴史と大自然へのタイムトラベル 第6巻  アフリカ大陸       (講談社+α文庫)","講談社 編, PPS通信社 写真, 水村 光男 監修","講談社","2002.12",""," : オールカラー完全版","",""
"","","","","","","","","",""
"290.9","25-7","世界遺産を旅する : 地球の記録 2 (スペイン・ポルトガル・モロッコ・チュニジア) ","**","近畿日本ツーリスト","1997.7","","","",""
"290.9","25-7","世界遺産を旅する : 地球の記録 4 (オーストリア・東欧) ","**","近畿日本ツーリスト","1998.3","","","",""
"","","","","","","","","",""
"709","25-7","世界遺産極める55      (小学館文庫)","世界遺産を旅する会 編","小学館","2001.8","","","",""
"510.92","25-7"," 土木遺産 : 世紀を越えて生きる叡智の結晶 ヨーロッパ編 ","建設コンサルタンツ協会『Consultant』編集部 編","ダイヤモンド社","2005.6","","","",""
"","","","","","","","","",""
"219.1 ","25-7","神の島　沖ノ島　－神に仕えた古代人の遺産　八万点の国宝を伝える最後の秘境","藤原 新也,  安部 龍太郎 著","小学館","2013.5","","","",""
"","","","","","","","","",""
"268","25-7","アンデス文明 : 石期からインカ帝国まで","L.G.ブレラス (Lumbreras, Luis Guillermo ) 著, 増田 義郎 訳","岩波書店","1977.4","","原タイトル: The peoples and cultures of ancient Peru ","",""
"235.9","25-7","De Historie van de Vesting Naarden","A. C. J. de Vrankrijker (Vrankrijker, Adrianus Clemens Johannes de)","De Haan","1987","オランダ語","ISBN: 9022831221, 第4版
ナールデン要塞の歴史","",""
"233.051","25-7","Deal and Walmer Castles : a handbook for Teachers","Jonathan Barnes","English Heritage","1991","英語","ISBN: 1850743606
Subject: Castles England of Henry VIII's early defences","",""
"629.237","25-7","Follow the Vikings : highlights of the viking world","Council of Europe Cultural Routes","Council of Europe Cultural Routes","1996","英語","ISBN: 9197291609
Accompanied by 1 folded map","",""
"",""," ","","","","","","",""
"629.237","25-7","L'immagine delle ville Medicee","Museo della Villa Medicea della Petraia Firenze","UNESCO ; Ville e giardini medicei in Toscana","2013","イタリア語","蛇腹式リーフレット","",""
"629.237","25-7","Toscana's Views","byy Paolo Busato","Florentia Minor","1991","イタリア語、英語、仏語、独語","","",""
"629.237","25-7","I giardini di villa Pisani : nelle incisioni del Ransonnette","Giampaolo Bonollo ","Medoacus","1993","イタリア語","","",""
"629.237","25-7","A guide-book of Lucca and surroundings : monumental map of the town ","","Plurigraf","1991","","Accompanied by 1 folded map
Lucca (Italy) -Guidebooks","",""
"","","","","","","","","",""
