"分類: NDC","棚番号-段","タイトル","編著者","発行者","発行年","言語","注記：原著名／仮訳、ISBN等","貴重書","タグ"
"213.69","01-7","近代日本と小笠原諸島 : 移動民の島々と帝国","石原 俊 著","平凡社","2007.9","","","","#小笠原"
"213.69","01-7","小笠原諸島をめぐる世界史","松尾 龍之介 著","弦書房(福岡)","2014.5","","","","#小笠原"
"452","01-7","海の文化史","寺田 一彦 著","文一総合出版","1979.3","","","",""
"388.1","01-7","琉球人名考　附位階制度　(爐邊叢書) 	
(炉辺叢書 / 柳田国男編???）","東恩納 寛惇 著","郷土研究社 (東京)","1925(大正14.4)","","","",""
"210.3","01-7","西海と南島の生活・文化","新川 登亀男　編, 監修: 水野 祐","名著出版","1995.10","","","",""
"629.21","01-7","琉球の庭園と文化　  (庭園学講座 11)","京都造形芸術大学日本庭園歴史遺産研究センター","京都造形芸術大学日本庭園研究センター","2004.11","","","",""
"219.9","01-7","琉球王代記・氏姓集・年代記・系図手本","琉球史料研究会 [編]","琉球史料研究会","1970","","","",""
"293.038","01-7","ブラウンとホーヘンベルフのヨーロッパ都市地図 : 16世紀の世界 ","ジョン・ゴス 著(Goss, John (1947- )), 小林 章夫 監訳","同朋舎出版 (京都)","1992.5",""," (Braun, Georg (1540?-1622), Hogenberg, Franz (1539?-1590))","",""
"289.3","01-7","コロンブスの図書館","エドワード・ウィルソン=リー(Wilson-Lee, Edward) [著], 五十嵐 加奈子 訳","柏書房","2020.5","","原タイトル:  The catalogue of shipwrecked books","",""
"402.9","01-7","尾瀬ケ原 : 尾瀬ケ原総合学術調査団研究報告 　　(文部省総合研究報告No.15)","尾瀬ケ原総合学術調査団","日本学術振興会
","1954","","箱入, 附図 (1枚) : 尾瀬ケ原及び近隣地域地質図, 尾瀬ケ原植物景観図, 尾瀬ケ原周辺森林植生図, 尾瀬ケ原湿原植生図 ","",""
"472.133","01-7","尾瀬ヶ原の植生 : 尾瀬ヶ原湿原植生の生態学的研究","宮脇 昭, 藤原 一絵 著","財団法人国立公園協会","1970.3","","付表: 63枚 (別綴), 付表･付図とも箱入
付図 (3枚) : 尾瀬ケ原湿原中田代十字路付近現存植生図, 尾瀬ケ原湿原植生図, 尾瀬ケ原湿原の代償植生図 (調査者: 宮脇昭, 藤原一絵, 品田穣)
","",""
"471.74","01-7","日光戦場ケ原湿原の植物","久保田 秀夫, 松田 行雄, 波田 善夫 著, 栃木県林務観光部環境観光課 編","栃木県林務観光部環境観光課","1978.3","","附図: 戦場ケ原現存植生図,  付表: 日光戦場ケ原湿原の植物","",""
"","","","","","","","","",""
"188.65","02-1","瑞泉寺縁起史","瑞泉寺","瑞泉寺(島根県邇摩郡温泉津町)","1996.11","","","",""
"210.46","02-1","蔭涼軒日録　索引","蔭木 英雄 編","臨川書店(京都)","1989.6","","史籍刊行会 1954年刊の復刻, 室町禅林とその周辺 (日記・記録による日本の歴史)
","",""
"210.46","02-1","蔭涼軒日録  1  自 永享7年6月 ～至 寛正5年12月  　(増補 続史料大成 21 )","竹内 理三 編, 季瓊真蕊 著","臨川書店(京都)","1991.2","","史籍刊行会 1954年刊の復刻, 室町禅林とその周辺 (日記・記録による日本の歴史)
","",""
"210.46","02-1","蔭涼軒日録  2  自  永享7年6月 ～至 文明19年9月 　(増補 続史料大成 22 )","竹内 理三 編, 季瓊真蕊 著","臨川書店(京都)","1991.2","","史籍刊行会 1954年刊の復刻, 室町禅林とその周辺 (日記・記録による日本の歴史)
","",""
"210.46","02-1","蔭涼軒日録  3  自 長享元年10月 ～至 延徳元年12月 　(増補 続史料大成 23 )","竹内 理三 編, 季瓊真蕊 著","臨川書店(京都)","1991.2","","史籍刊行会 1954年刊の復刻, 室町禅林とその周辺 (日記・記録による日本の歴史)
","",""
"210.46","02-1","蔭涼軒日録  4  自 延徳2年四季 ～至 延徳3年12月 　(増補 続史料大成 24 )","竹内 理三 編, 季瓊真蕊 著","臨川書店(京都)","1991.2","","史籍刊行会 1954年刊の復刻, 室町禅林とその周辺 (日記・記録による日本の歴史)
","",""
"210.46","02-1","蔭涼軒日録  5  自 延徳4年四季 ～至 明應2年9月 　(増補 続史料大成 25 )","竹内 理三 編, 季瓊真蕊 著","臨川書店(京都)","1991.2","","史籍刊行会 1954年刊の復刻, 室町禅林とその周辺 (日記・記録による日本の歴史), 解題 研究史の概略 玉村竹二著","",""
"210.2","02-1","吉胡貝塚  (埋蔵文化財発掘調査報告 1)","文化庁 著","吉川弘文館","1976","","愛知県渥美郡田原町所在","",""
"210.2","02-1","大湯町環状列石  (埋蔵文化財発掘調査報告 2)","文化財保護委員会 編","吉川弘文館","1976","","秋田県鹿角郡大湯町所在","",""
"210.2","02-1","無量光院跡  (埋蔵文化財発掘調査報告 3)","文化庁 著","吉川弘文館","1976","","岩手県西磐井郡平泉町
初版: 昭和29年刊 ","",""
"210.2","02-1","志登支石墓群  (埋蔵文化財発掘調査報告 4)","文化財保護委員会 編","吉川弘文館","1976","","福岡県糸島郡前原町所在","",""
